channel_code,customer_id,day_since_last_trx,count_trx,net_sales,count_site_activity,count_email_received,count_email_opened,count_content_clicked,count_product_viewed,count_email_opened_clicked,count_coupon_received,count_campaign_spam_marked,count_campaign_unsubscribed,count_chat_delivered,count_soft_bounced,count_hard_bounced
PlanetSports.Asia,bec83fcee0672678cb79e855967e2c7d5b3fdd03421d137d725f3e7fd2d3bcdc,332,1,"Rp71,171",0,33,11,0,0,11,0,0,0,0,0,0
PlanetSports.Asia,770f3a7feb4379941e96e1a26758edc85b18208bf83cffc2c3b3c196632844e6,15,1,"Rp71,171",0,14,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,3aa92f976f47318a42ba05f4f7f52da676aa0b2466fb7673d296ee25f2167588,69,1,"Rp71,171",0,2,4,0,0,4,0,0,1,0,0,0
PlanetSports.Asia,36094fe76ba0fdab2376fd6713f138346c0b89fe0565f0b99e25bd924dc488ec,304,1,"Rp71,351",0,23,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,42d927e741ed9d366edccfda15e8784dd46ca275482ca43c021dad4b1caf87e1,48,1,"Rp71,351",0,14,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,38a2215c838a26a85d40125be59f575befbe474b61083915b3ab834ef89256e0,357,1,"Rp71,351",0,25,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,c37859a159ed1e065c5e34d763c91c2d24e557f0fc9e85661fbe9e4559ed1d0a,8,1,"Rp71,351",0,20,5,0,0,5,0,0,0,0,0,0
PlanetSports.Asia,18657468b3b0159e1f90f80ad2a76238317d0b4c39a24215c925c8bdedfb6628,42,1,"Rp71,351",0,18,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,64589983893da9fe1a2326f5311d150c8f20485af04157a9907a9ee1781deca1,58,1,"Rp71,622",0,4,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,ff10208f69f8f8ac7627a65074bd6a7b2625e9cfa108a897a39909dd8e832365,55,1,"Rp71,622",0,5,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,b376a499716902f3d3e5e0e4aab09156b0d82ba9527042efd35be273c0989968,89,1,"Rp71,622",0,3,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,91ba4be23bc72816fae0e940a0f831a3704c6782dc82b022f91f50e5f0eee931,77,1,"Rp71,622",0,6,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,1bfb27f7b5f75cf0c7164133a513a79de2c0fcbb0a86820eaa5a2a491cb6df86,90,1,"Rp71,622",0,33,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,639a330387f788fb80e672b47b4e5670e2765af99e73ce470e83645132ba3e91,84,1,"Rp71,622",0,5,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,3121300d1b8a2671fa11d57966c47cfee00756a872a09f071c4d7b07aa3d9fa3,229,1,"Rp71,622",0,25,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,70ac241daa36a00fa47b064e538253b55857eddee064a6517c3b7d78a25624b5,92,1,"Rp71,622",0,4,3,0,0,3,0,0,2,0,0,0
PlanetSports.Asia,6c5bb4c16208dd0eb3b71aa4449a77017aa2afb28f083371c099e778726ce210,79,1,"Rp71,622",0,1,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,891193ce86db464c315ab7baa48b96a7c807efa99ae6d2d5a02f855f7f753aa5,54,1,"Rp71,622",0,5,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,01fe25ae5a5ac755a359c6bc6c4806f194fae3e6ae5967fb7af484d2fcb7848f,96,1,"Rp71,622",0,0,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,4875378b4b02905be478c8597312de21a28cf86c93887649db56aa7c03e2e44f,218,1,"Rp71,622",0,34,32,0,0,32,0,0,1,0,0,0
PlanetSports.Asia,27a20f69c168a729972c2b6c238e916e655d990ead386bc842a61f68480f53e8,53,1,"Rp71,622",0,5,2,0,0,2,0,0,0,0,0,0
